"sitename","regionnumb","trendsite","rookery","Month","Day","Year","adultcount","counttype","source","Replicate","counter","comments"
"AKWE",5,,,4,15,2013,0,4,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"AKWE",5,,,3,15,2010,194,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"AKWE",5,,,3,24,2010,394,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"AKWE",5,,,4,10,2000,0,1,7,,,"USFS, Harke & Lucey (2000): spring haul out"
"AKWE",5,,,4,12,2000,0,1,7,,,"USFS, Harke & Lucey (2000): spring haul out"
"AKWE",5,,,3,28,2000,381,1,7,,,"USFS, Harke & Lucey (2000): spring haul out"
"AKWE",5,,,6,25,2009,0,4,1,"N",,"logs for chkcnt"
"AKWE",5,,,2,5,2001,208,1,7,"N",,"USDA Forest Service, Lucey September 2001"
"AKWE",5,,,6,9,2008,0,4,1,"N",,"Sweeney&Gudmundson counters, logs for chkcnt, "
"AKWE",5,,,4,5,2000,0,1,7,,,"USFS, Harke & Lucey (2000): spring haul out"
"AKWE",5,,,4,24,2000,0,1,7,,,"USFS, Harke & Lucey (2000): spring haul out"
"AKWE",5,,,5,12,2000,0,4,7,,,"USFS, Harke & Lucey (2000): spring haul out"
"AKWE",5,,,6,25,2013,0,4,1,"n","KLS, LF",
"AKWE",5,,,5,5,2000,0,1,7,,,"USFS, Harke & Lucey (2000): spring haul out"
"AKWE",5,,,6,8,2010,0,4,1,"N","KLS",
"ALSEK",5,,,3,21,2013,946,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,4,13,2011,3225,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,5,6,2010,747,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,4,29,2010,783,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,4,14,2010,1718,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,4,5,2010,1128,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,3,4,2013,815,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,4,20,2013,2261,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,5,15,2013,58,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,3,24,2010,1139,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,1,29,2011,228,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,4,6,2011,1320,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,3,30,2010,989,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,3,18,2011,945,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,6,28,2015,0,4,1,"N","LF, JC, ML","Visual obs recorded in data book or log."
"ALSEK",5,,,5,9,2011,1791,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,2,9,2010,552,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,2,18,2010,509,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,3,15,2010,3426,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,3,24,2011,672,3,7,"N",,"Oehlers, S., S. Wartman, and L. Jemison. 2015. Unpublished report, USDA Forest Service, Tongass National Forest, Yakutat RD"
"ALSEK",5,,,4,17,2001,337,1,7,"N",,"USDA Forest Service, Lucey September 2001"
"ALSEK",5,,,2,14,2001,115,1,7,"N",,"USDA Forest Service, Lucey September 2001"
"ALSEK",5,,,2,23,2001,234,1,7,"N",,"USDA Forest Service, Lucey September 2001"
"ALSEK",5,,,3,1,2001,275,1,7,"N",,"USDA Forest Service, Lucey September 2001"
"ALSEK",5,,,4,17,2003,367,1,7,"N",,"USDA Forest Service, Moran et al May 2003"
"ALSEK",5,,,3,13,2001,516,1,7,"N",,"USDA Forest Service, Lucey September 2001"
"ALSEK",5,,,3,22,2001,609,1,7,"N",,"USDA Forest Service, Lucey September 2001"
"ALSEK",5,,,4,2,2003,1111,1,7,"N",,"USDA Forest Service, Moran et al May 2003"
"ALSEK",5,,,4,10,2001,741,1,7,"N",,"USDA Forest Service, Lucey September 2001"
"ALSEK",5,,,4,26,2001,234,1,7,"N",,"USDA Forest Service, Lucey September 2001"
"ALSEK",5,,,5,6,2001,92,1,7,"N",,"USDA Forest Service, Lucey September 2001"
"ALSEK",5,,,2,13,2003,896,1,7,"N",,"USDA Forest Service, Moran et al May 2003"
"ALSEK",5,,,3,11,2003,702,1,7,"N",,"USDA Forest Service, Moran et al May 2003"
"ALSEK",5,,,3,24,2003,1328,1,7,"N",,"USDA Forest Service, Moran et al May 2003"
"ALSEK",5,,,4,11,2003,1397,1,7,"N",,"USDA Forest Service, Moran et al May 2003"
"ALSEK",5,,,4,12,2000,34,1,7,,,"USFS, Harke & Lucey (2000): spring haul out"
"ALSEK",5,,,4,2,2001,770,1,7,"N",,"USDA Forest Service, Lucey September 2001"
"ALSEK",5,,,3,29,2002,1347,1,7,,,"59-07.8N, 138-37.5W, mouth of Dry Bay.  Catterson and Lucey 2002"
"ALSEK",5,,,4,9,2002,718,1,7,,,"59-07.8N, 138-37.5W, mouth of Dry Bay.  Catterson and Lucey 2002"
"ALSEK",5,,,4,5,2000,670,4,7,,,"USFS, Harke & Lucey (2000): spring haul out"
"ALSEK",5,,,6,9,2008,0,4,1,"N",,"Sweeney&Gudmundson counters, logs for chkcnt, "
"ALSEK",5,,,6,8,2010,0,4,1,"N","KLS",
"ALSEK",5,,,3,20,2002,914,1,7,,,"59-07.8N, 138-37.5W, mouth of Dry Bay.  Catterson and Lucey 2002"
"ALSEK",5,,,5,12,2000,0,4,7,,,"USFS, Harke & Lucey (2000): spring haul out"
"ALSEK",5,,,5,10,2000,80,4,7,,,"USGS, Dan Monson e-mail to M. Dahlheim (23 Oct 2000)"
"ALSEK",5,,,4,24,2000,1,1,7,,,"USFS, Harke & Lucey (2000): spring haul out"
"ALSEK",5,,,4,15,2002,137,1,7,,,"59-07.8N, 138-37.5W, mouth of Dry Bay.  Catterson and Lucey 2002"
"ALSEK",5,,,4,10,2000,390,4,7,,,"USFS, Harke & Lucey (2000): spring haul out"
"ALSEK",5,,,3,28,2000,78,1,7,,,"USFS, Harke & Lucey (2000): spring haul out"
"ALSEK",5,,,6,25,2009,0,4,1,"N",,"logs for chkcnt"
"ALSEK",5,,,5,5,2000,100,4,7,,,"USFS, Harke & Lucey (2000): spring haul out"
"ALSEK",5,,,6,25,2013,0,4,1,"n","KLS, LF",
"BENJAMIN",5,"0","0",2,18,2002,279,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",3,16,2001,391,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",11,9,2001,358,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",3,15,2001,355,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",4,18,2002,335,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",3,19,2004,316,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",1,15,2002,311,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",4,16,2001,308,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",1,8,2004,170,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",2,25,2004,412,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",2,20,2002,183,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",4,19,2002,160,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",12,13,2002,747,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",4,17,2001,226,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",4,15,2003,217,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",4,13,2004,287,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",1,10,2003,647,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",6,24,2015,106,3,1,"Y","LF","Otter aerial image count. "
"BENJAMIN",5,"0","0",6,24,2015,106,3,1,"Y","KLS","Otter aerial image count. "
"BENJAMIN",5,"0","0",11,20,2003,803,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",5,14,2001,100,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",4,22,2003,138,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",10,22,2001,797,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",3,20,2003,712,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",12,4,2003,663,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",4,8,2003,422,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",2,21,2003,563,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",3,22,2002,557,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",2,20,2003,529,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",4,8,2002,481,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",10,9,2002,453,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",12,18,2001,441,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",11,13,2002,440,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",3,21,2002,726,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",6,19,2003,20,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",6,11,2001,8,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",5,5,2003,11,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",4,21,2003,104,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",5,18,2004,26,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",5,3,2002,29,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",6,18,2002,44,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",4,20,2004,49,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",4,29,2003,50,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",4,21,2004,60,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",10,15,2003,238,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",4,29,2002,82,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",6,22,1996,0,1,2,"N",,"Sease et al, 1999 (96 survey)"
"BENJAMIN",5,"0","0",7,17,1982,2,1,2,"N",,"Calkins & Pitcher ?1984"
"BENJAMIN",5,"0","0",1,3,1996,252,7,2,"N",,
"BENJAMIN",5,"0","0",11,4,1995,298,7,2,"N",,"from adf&g"
"BENJAMIN",5,"0","0",12,2,1994,451,1,2,"N",,"adf&g data sheet"
"BENJAMIN",5,"0","0",6,13,1994,0,1,2,"N",,"Strick et al, 1997 (94 aer survey)"
"BENJAMIN",5,"0","0",3,16,1993,372,1,2,"N",,"checked to excel spreadsheet"
"BENJAMIN",5,"0","0",6,10,1992,81,1,2,"N",,"Sease et al, 1993"
"BENJAMIN",5,"0","0",6,21,1991,0,1,2,"N",,"Merrick et al, 1992 (91 surv)"
"BENJAMIN",5,"0","0",7,8,1990,29,1,2,"N",,
"BENJAMIN",5,"0","0",6,20,1989,0,1,2,"N",,"DCM data sheet"
"BENJAMIN",5,"0","0",10,24,1993,707,1,2,"N",,"RECONNAISSANCE FLIGHT BY D.  MCALLISTER"
"BENJAMIN",5,"0","0",6,23,2013,100,3,1,"n","LF",
"BENJAMIN",5,"0","0",9,10,2002,0,4,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",9,25,2001,0,4,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",8,15,2002,0,4,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",8,18,2003,0,4,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",8,22,2001,0,4,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",7,18,2002,0,4,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",7,22,2003,0,4,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",7,10,2001,0,4,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",6,8,2008,0,4,1,"N",,"Sweeney&Gudmundson counters, logs for chkcnt, "
"BENJAMIN",5,"0","0",7,6,2002,0,2,5,"N",,"Perryman et al., La Jolla"
"BENJAMIN",5,"0","0",6,23,2013,101,3,1,"n","KLS",
"BENJAMIN",5,"0","0",9,10,2003,0,4,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",6,24,2009,0,4,1,"N",,"logs for chkcnt"
"BENJAMIN",5,"0","0",5,15,2002,0,4,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BENJAMIN",5,"0","0",6,7,2010,0,4,1,"N","KLS",
"BERNERS BAY",5,,,6,24,2015,0,4,1,"N","LF, JC, ML","Visual obs recorded in data book or log."
"BERNERS BAY",5,,,4,29,2002,13,1,7,"N",,"J. Womble, National Park Service, Juneau, AK"
"BIALI ROCK",5,"1","1",6,27,2015,902,3,1,"Y","LF","Otter aerial image count. "
"BIALI ROCK",5,"1","1",6,27,2015,891,3,1,"Y","KLS","Otter aerial image count. "
"BIALI ROCK",5,"1","1",6,20,1998,432,1,2,"N",,"Sease & Loughlin 1999med.-format vertical photography"
"BIALI ROCK",5,"1","1",7,5,1991,541,1,2,"R",,"from adf&g, fall 2000"
"BIALI ROCK",5,"1","1",7,9,1991,280,1,2,"R",,"from adf&g, fall 2000"
"BIALI ROCK",5,"1","1",6,11,1992,483,1,2,"R",,"from adf&g, fall 2000"
"BIALI ROCK",5,"1","1",6,12,1992,435,1,2,"R",,"Sease et al, 1993, Calkins et al, ?1986"
"BIALI ROCK",5,"1","1",7,5,1992,398,1,2,"R",,"from adf&g, fall 2000"
"BIALI ROCK",5,"1","1",3,17,1993,555,1,2,"N",,"checked to excel spreadsheet"
"BIALI ROCK",5,"1","1",6,24,2000,662,1,2,"N",,"from ADF&G"
"BIALI ROCK",5,"1","1",6,21,1996,342,1,2,"N",,"Sease et al, 1999 (96 survey)"
"BIALI ROCK",5,"1","1",7,4,1991,466,1,2,"R",,"from adf&g, fall 2000"
"BIALI ROCK",5,"1","1",6,12,1994,416,1,2,"N",,"Strick et al, 1997 (94 aer survey)"
"BIALI ROCK",5,"1","1",12,3,1994,718,1,2,"N",,"adf&g data sheet"
"BIALI ROCK",5,"1","1",2,11,1984,585,99,2,"N",,
"BIALI ROCK",5,"1","1",1,31,1996,956,1,2,"N",,"from adf&g, fall 2000"
"BIALI ROCK",5,"1","1",7,14,1979,810,99,2,"N",,"Calkins & Pitcher ?1984"
"BIALI ROCK",5,"1","1",7,1,1991,581,1,2,"R",,"from adf&g, fall 2000"
"BIALI ROCK",5,"1","1",7,19,1982,722,99,2,"N",,"Calkins & Pitcher ?1984"
"BIALI ROCK",5,"1","1",7,14,1984,630,99,2,"N",,
"BIALI ROCK",5,"1","1",5,99,1975,500,99,2,"N",,"Calkins & Pitcher ?1984"
"BIALI ROCK",5,"1","1",6,22,1989,794,1,2,"N",,"Loughlin et al, 1992"
"BIALI ROCK",5,"1","1",7,4,1990,596,1,2,"N",,"Calkins et al, ?1986"
"BIALI ROCK",5,"1","1",6,20,1991,417,1,2,"R",,"Merrick et al, 1992 (91 surv)"
"BIALI ROCK",5,"1","1",6,28,1991,573,1,2,"R",,"from adf&g, fall 2000"
"BIALI ROCK",5,"1","1",6,29,1991,562,1,2,"R",,"from adf&g, fall 2000"
"BIALI ROCK",5,"1","1",6,30,1991,534,1,2,"R",,"from adf&g, fall 2000"
"BIALI ROCK",5,"1","1",6,7,2008,410,3,1,"N",,"Sweeney&Gudmundson counters, logs for chkcnt, "
"BIALI ROCK",5,"1","1",6,23,2013,826,3,1,"n","KLS",
"BIALI ROCK",5,"1","1",6,24,2009,611,3,1,"N","KLS","logs for chkcnt"
"BIALI ROCK",5,"1","1",6,24,2009,621,3,1,"N","CJ","logs for chkcnt"
"BIALI ROCK",5,"1","1",6,28,2004,568,2,5,"N",,
"BIALI ROCK",5,"1","1",6,7,2010,488,3,1,"Y","SF",
"BIALI ROCK",5,"1","1",6,7,2008,405,3,1,"N",,"Sweeney&Gudmundson counters, logs for chkcnt, "
"BIALI ROCK",5,"1","1",6,23,2013,838,3,1,"n","LF",
"BIALI ROCK",5,"1","1",6,7,2010,489,3,1,"Y","CJ",
"BIALI ROCK",5,"1","1",7,12,2010,506,3,1,"y","LF",
"BIALI ROCK",5,"1","1",7,12,2010,512,3,1,"Y","KLS",
"BIALI ROCK",5,"1","1",7,10,2005,598,2,5,,,
"BIALI ROCK",5,"1","1",7,4,2002,626,2,5,"N",,"Perryman et al., La Jolla"
"BLACK ROCK",5,"0","0",6,24,2015,0,4,1,"N","LF, JC, ML","Visual obs recorded in data book or log."
"BLACK ROCK",5,"0","0",6,8,2010,0,4,1,"N","KLS",
"Black Rock",5,"0","0",6,24,2013,0,4,1,"n","KLS, LF",
"CAPE ADDINGTON",5,"0","0",6,27,2015,966,3,1,"Y","KLS","Otter aerial image count. "
"CAPE ADDINGTON",5,"0","0",6,27,2015,978,3,1,"Y","LF","Otter aerial image count. "
"CAPE ADDINGTON",5,"0","0",6,20,1991,827,1,2,"N",,"Merrick et al, 1992 (91 surv)"
"CAPE ADDINGTON",5,"0","0",6,21,1998,686,1,2,"N",,"Sease & Loughlin 1999med.-format vertical photography"
"CAPE ADDINGTON",5,"0","0",6,21,1996,756,1,2,"N",,"Sease et al, 1999 (96 survey)"
"CAPE ADDINGTON",5,"0","0",1,31,1996,828,1,2,"N",,"from adf&g, fall 2000"
"CAPE ADDINGTON",5,"0","0",12,3,1994,680,1,2,"N",,"adf&g data sheet"
"CAPE ADDINGTON",5,"0","0",6,12,1994,892,1,2,"N",,"Strick et al, 1997 (94 aer survey)"
"CAPE ADDINGTON",5,"0","0",6,28,2000,1116,1,2,"N",,"from ADF&G"
"CAPE ADDINGTON",5,"0","0",7,4,1990,1022,1,2,"N",,"Calkins et al, ?1986"
"CAPE ADDINGTON",5,"0","0",6,22,1989,616,1,2,"N",,"Loughlin et al, 1992 & DCM data sheet"
"CAPE ADDINGTON",5,"0","0",7,14,1984,209,99,2,"N",,"Calkins et al, ?1986"
"CAPE ADDINGTON",5,"0","0",7,19,1982,0,99,2,"N",,"Calkins & Pitcher ?1984"
"CAPE ADDINGTON",5,"0","0",4,99,1957,600,4,7,"N",,"spring, Mathisen & Lopp 1963"
"CAPE ADDINGTON",5,"0","0",99,99,1929,250,99,2,"N",,"Calkins et al, ?1986 (Rowley 1929)"
"CAPE ADDINGTON",5,"0","0",7,5,1992,907,1,2,"N",,"Sease et al, 1993, Calkins et al, ?1986"
"CAPE ADDINGTON",5,"0","0",3,17,1993,689,1,2,"N",,"checked to excel spreadsheet"
"CAPE ADDINGTON",5,"0","0",6,23,2013,1016,3,1,"n","LF",
"CAPE ADDINGTON",5,"0","0",6,8,2008,721,3,1,"N",,"Sweeney&Gudmundson counters, logs for chkcnt, "
"CAPE ADDINGTON",5,"0","0",6,8,2008,714,3,1,"N",,"Sweeney&Gudmundson counters, logs for chkcnt, "
"CAPE ADDINGTON",5,"0","0",7,5,2002,1074,2,5,"N",,"Perryman et al., La Jolla"
"CAPE ADDINGTON",5,"0","0",6,23,2013,997,3,1,"n","KLS",
"CAPE ADDINGTON",5,"0","0",6,24,2009,9,4,1,"N",,"logs for chkcnt"
"CAPE ADDINGTON",5,"0","0",6,28,2004,1154,2,5,"N",,
